layer_name,layer_type,ops,L2_input_dma,L2_computation,L2_output_dma,L3_input_dma,L3_output_dma,total_cycles,op/cycle,type,category
9_tokenizer_conv_conv_1_conv_1_0_Conv,DB,37748736,117384,31220415,20364,98388,25664,31482215,1.209104235161512,conv,Convolution
241_classifier_blocks_1_linear2_MatMul_fused_with_242_classifier_blocks_1_linear2_Add,DB,4218880,52104,5539116,4312,115233,18191,5728956,0.7616522203181879,gemm,Matrix Operations
130_classifier_blocks_0_linear2_MatMul_fused_with_131_classifier_blocks_0_linear2_Add,DB,4218880,51867,5538811,4393,115415,18146,5728632,0.7616941614364527,gemm,Matrix Operations
119_classifier_blocks_0_linear1_MatMul_fused_with_BiasGelu_Add,DB,4243456,39379,5558133,8670,100433,10870,5717485,0.7634678767132776,gemm,Matrix Operations
230_classifier_blocks_1_linear1_MatMul_Grad_Gemm_5,DB,4292608,39772,5329688,16957,88031,63088,5537536,0.8054145008113045,gemm,Matrix Operations
241_classifier_blocks_1_linear2_MatMul_Grad_FusedMatMul_0_gemm,DB,4243456,39461,5351062,8696,97975,10744,5507938,0.793011929220779,gemm,Matrix Operations
230_classifier_blocks_1_linear1_MatMul_Grad_FusedMatMul_0_gemm,DB,4218880,52119,5267603,4330,110047,18090,5452189,0.8009107747869382,gemm,Matrix Operations
6_tokenizer_conv_conv_0_conv_0_0_Conv,DB,3538944,4956,3270080,36854,17654,86334,3415878,1.082219395244153,conv,Convolution
175_classifier_blocks_1_self_attn_k_proj_MatMul_fused_with_182_classifier_blocks_1_self_attn_Add_1,DB,2121728,19811,2778798,4355,100155,25109,2928228,0.7635416464241014,gemm,Matrix Operations
37_classifier_blocks_0_self_attn_q_proj_MatMul_fused_with_44_classifier_blocks_0_self_attn_Add,DB,2121728,19689,2778809,4330,100082,25169,2928079,0.7635386239212555,gemm,Matrix Operations
97_classifier_blocks_0_self_attn_proj_MatMul_fused_with_98_classifier_blocks_0_self_attn_proj_Add,DB,2121728,19761,2778806,4239,100120,25130,2928056,0.7635394482378403,gemm,Matrix Operations
64_classifier_blocks_0_self_attn_k_proj_MatMul_fused_with_71_classifier_blocks_0_self_attn_Add_1,DB,2121728,19750,2778741,4295,100041,25198,2928025,0.7635573088675771,gemm,Matrix Operations
148_classifier_blocks_1_self_attn_q_proj_MatMul_fused_with_155_classifier_blocks_1_self_attn_Add,DB,2121728,19758,2778669,4276,100117,25145,2927965,0.763577093925185,gemm,Matrix Operations
208_classifier_blocks_1_self_attn_proj_MatMul_fused_with_209_classifier_blocks_1_self_attn_proj_Add,DB,2121728,19815,2778373,4332,100149,25223,2927892,0.7636584432687764,gemm,Matrix Operations
74_classifier_blocks_0_self_attn_v_proj_MatMul_fused_with_81_classifier_blocks_0_self_attn_Add_2,DB,2121728,19799,2778475,4316,100080,25169,2927839,0.7636304087673994,gemm,Matrix Operations
185_classifier_blocks_1_self_attn_v_proj_MatMul_fused_with_192_classifier_blocks_1_self_attn_Add_2,DB,2121728,19682,2778613,4295,100017,25128,2927735,0.7635924830122078,gemm,Matrix Operations
208_classifier_blocks_1_self_attn_proj_MatMul_Grad_FusedMatMul_0_gemm,DB,2121728,19741,2640356,4276,97535,25201,2787109,0.803576487413061,gemm,Matrix Operations
200_classifier_blocks_1_self_attn_MatMul_7_Grad_FusedMatMul_1_gemm,DB,1073152,10076,1332294,4219,83943,61455,1491987,0.8054918809211781,gemm,Matrix Operations
196_classifier_blocks_1_self_attn_MatMul_6_Grad_FusedMatMul_0_gemm,DB,1073152,10075,1331443,4258,84044,61539,1491359,0.8060067160216396,gemm,Matrix Operations
200_classifier_blocks_1_self_attn_MatMul_7_Grad_FusedMatMul_0_gemm,DB,1060864,10077,1320118,2145,83974,32135,1448449,0.8036130103521049,gemm,Matrix Operations
230_classifier_blocks_1_linear1_MatMul,DB,4194304,27770,720363,8552,102049,5511,864245,5.8224867185016445,gemm,Matrix Operations
8_tokenizer_conv_conv_0_conv_0_2_MaxPool,DB,131072,32651,581923,9354,126253,30919,781100,0.22523942171043249,maxpool,Pooling
7_tokenizer_conv_conv_0_conv_0_1_Relu,DB,65536,32723,51062,47202,451333,133216,715536,1.2834593239591086,relu,Activation
GeluGrad_108,DB,0,16082,541740,8589,91312,43064,700787,0.0,gelugrad,Other
BiasGelu_Gelu,DB,98304,8120,507807,8600,68406,66839,659772,0.19358535821680284,gelu,Activation
_NCHW_TO_NHWC_MAXPOOL_PASS_0_TransposeIn,DB,0,32845,64223,33858,439556,88982,659464,0.0,transposein,Other
BiasGelu_token_8_Gelu,DB,98304,8137,507004,8604,68484,64140,656369,0.19389196140464374,gelu,Activation
_NCHW_TO_NHWC_CONV_PASS_0_TransposeOut,DB,0,32684,42630,33886,377653,74882,561735,0.0,transposeout,Other
0_classifier_blocks_1_linear1_Transpose__0_sgd,DB,0,32420,263089,17367,100106,21777,434759,0.0,sgd,sgd
11_tokenizer_conv_conv_1_conv_1_2_MaxPool,DB,65536,16284,242659,4399,111233,15491,390066,0.2700744666383691,maxpool,Pooling
10_tokenizer_conv_conv_1_conv_1_1_Relu,DB,32768,16373,27385,24615,185386,123874,377633,1.1965674639401132,relu,Activation
_NCHW_TO_NHWC_MAXPOOL_PASS_1_TransposeIn,DB,0,16319,28091,16940,194684,68802,324836,0.0,transposein,Other
200_classifier_blocks_1_self_attn_MatMul_7,DB,1048576,6072,184391,4257,51284,61435,307439,5.686698374649522,gemm,Matrix Operations
